TXN,2,800,3,8000,1
TXT,2,200,3,2000,1
TMO,2,200,3,2000,1
TIF,2,300,3,3000,1
TWTR,2,1000,5,10000,1
TJX,2,800,3,8000,1
TMK,2,200,3,1000,1
TSS,2,200,3,1700,1
TSCO,2,200,3,1500,1
TDG,2,200,3,1000,1
TRV,2,200,3,2000,1
TRIP,2,200,3,2000,1
FOXA,2,1000,5,10000,1
FOX,2,700,3,7000,1
TSN,2,300,3,3000,1
UDR,2,200,3,1600,1
ULTA,2,200,3,1000,1
USB,2,1000,5,10000,1
UAA,2,600,3,6000,1
UA,2,500,3,5000,1
UNP,2,600,3,6000,1
UAL,2,400,3,4000,1
UNH,2,300,3,3000,1
UPS,2,300,3,3000,1
URI,2,200,3,2000,1
UTX,2,500,4,5000,1
UHS,2,200,3,1200,1
UNM,2,200,3,2000,1
VFC,2,300,3,3000,1
VLO,2,500,3,5000,1
VAR,2,200,3,1000,1
VTR,2,200,3,2000,1
VRSN,2,200,3,1000,1
VRSK,2,200,3,1200,1
VZ,2,1000,5,20000,1
VRTX,2,200,3,1200,1
VIAB,2,300,3,3000,1
V,2,1000,5,10000,1
VNO,2,200,3,1500,1
VMC,2,200,3,1300,1
WMT,2,1000,5,10000,1
WBA,2,700,3,7000,1
DIS,2,800,3,8000,1
WAT,2,200,3,1000,1
WM,2,300,3,2000,1
WEC,2,200,3,2000,1
WCG,2,200,3,1500,1
WFC,2,1000,5,10000,1
WELL,2,200,3,2000,1
WDC,2,600,3,6000,1
WU,2,500,3,5000,1
WRK,2,200,3,2000,1
WY,2,500,3,5000,1
WHR,2,200,3,2000,1
WMB,2,1000,5,10000,1
WLTW,2,200,3,2000,1
WYNN,2,300,3,3000,1
XEL,2,400,3,4000,1
XRX,2,300,3,3000,1
XLNX,2,300,3,3000,1
XYL,2,200,3,1600,1
YUM,2,200,3,2000,1
ZBH,2,200,3,1200,1
ZION,2,200,3,2000,1
ZTS,2,300,3,3000,1
